,DATA_ITEM,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE,TRADING_HUB,RENEWABLE_TYPE
72,RENEW_FCST_DA_MW,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,2331.02,SP15,Wind
73,RENEW_FCST_DA_MW,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,2330.98,SP15,Wind
74,RENEW_FCST_DA_MW,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,2305.95,SP15,Wind
75,RENEW_FCST_DA_MW,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,2325.61,SP15,Wind
76,RENEW_FCST_DA_MW,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,2381.16,SP15,Wind
77,RENEW_FCST_DA_MW,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,2347.92,SP15,Wind
78,RENEW_FCST_DA_MW,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,2228.72,SP15,Wind
79,RENEW_FCST_DA_MW,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,2109.78,SP15,Wind
80,RENEW_FCST_DA_MW,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,1956.04,SP15,Wind
81,RENEW_FCST_DA_MW,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,1773.8,SP15,Wind
82,RENEW_FCST_DA_MW,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,1614.18,SP15,Wind
83,RENEW_FCST_DA_MW,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,1530.63,SP15,Wind
84,RENEW_FCST_DA_MW,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,1588.93,SP15,Wind
85,RENEW_FCST_DA_MW,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,1824.97,SP15,Wind
86,RENEW_FCST_DA_MW,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,2221.91,SP15,Wind
87,RENEW_FCST_DA_MW,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,2525.86,SP15,Wind
88,RENEW_FCST_DA_MW,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,2639.04,SP15,Wind
89,RENEW_FCST_DA_MW,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,2704.46,SP15,Wind
90,RENEW_FCST_DA_MW,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,2674.36,SP15,Wind
91,RENEW_FCST_DA_MW,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,2573.69,SP15,Wind
92,RENEW_FCST_DA_MW,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,2513.13,SP15,Wind
93,RENEW_FCST_DA_MW,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,2454.8,SP15,Wind
94,RENEW_FCST_DA_MW,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,2309.95,SP15,Wind
95,RENEW_FCST_DA_MW,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,2372.74,SP15,Wind
96,RENEW_FCST_DA_MW,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,0,ZP26,Solar
97,RENEW_FCST_DA_MW,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,0,ZP26,Solar
98,RENEW_FCST_DA_MW,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,0,ZP26,Solar
99,RENEW_FCST_DA_MW,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,0,ZP26,Solar
100,RENEW_FCST_DA_MW,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,0,ZP26,Solar
101,RENEW_FCST_DA_MW,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,2552.26,ZP26,Solar
102,RENEW_FCST_DA_MW,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,0,ZP26,Solar
103,RENEW_FCST_DA_MW,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,0,ZP26,Solar
104,RENEW_FCST_DA_MW,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,4.36,ZP26,Solar
105,RENEW_FCST_DA_MW,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,2384.72,ZP26,Solar
106,RENEW_FCST_DA_MW,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,464.64,ZP26,Solar
107,RENEW_FCST_DA_MW,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,0,ZP26,Solar
108,RENEW_FCST_DA_MW,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,1506.04,ZP26,Solar
109,RENEW_FCST_DA_MW,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,1785,ZP26,Solar
110,RENEW_FCST_DA_MW,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,2219.11,ZP26,Solar
111,RENEW_FCST_DA_MW,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,0,ZP26,Solar
112,RENEW_FCST_DA_MW,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,2465.43,ZP26,Solar
113,RENEW_FCST_DA_MW,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,647.49,ZP26,Solar
114,RENEW_FCST_DA_MW,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,2569.02,ZP26,Solar
115,RENEW_FCST_DA_MW,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,0,ZP26,Solar
116,RENEW_FCST_DA_MW,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,2611.11,ZP26,Solar
117,RENEW_FCST_DA_MW,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,11.96,ZP26,Solar
118,RENEW_FCST_DA_MW,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,2620.68,ZP26,Solar
119,RENEW_FCST_DA_MW,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,2616.12,ZP26,Solar
120,RENEW_FCST_DA_MW,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,39.85,ZP26,Wind
