,DATA_ITEM,RESOURCE_NAME,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE
55,SYS_FCST_DA_MW,AZPS,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,4515.43
56,SYS_FCST_DA_MW,AZPS,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,4640.88
57,SYS_FCST_DA_MW,AZPS,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,6660.41
58,SYS_FCST_DA_MW,AZPS,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,5717.15
59,SYS_FCST_DA_MW,AZPS,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,4478.07
60,SYS_FCST_DA_MW,AZPS,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,5818.23
61,SYS_FCST_DA_MW,AZPS,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,6382.8
62,SYS_FCST_DA_MW,AZPS,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,4829.46
63,SYS_FCST_DA_MW,AZPS,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,4424.19
64,SYS_FCST_DA_MW,AZPS,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,4538.63
65,SYS_FCST_DA_MW,AZPS,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,6415.13
66,SYS_FCST_DA_MW,AZPS,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,6557.63
67,SYS_FCST_DA_MW,AZPS,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,5295.15
68,SYS_FCST_DA_MW,AZPS,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,4851.12
69,SYS_FCST_DA_MW,AZPS,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,6143.15
70,SYS_FCST_DA_MW,AZPS,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,5131.82
71,SYS_FCST_DA_MW,AZPS,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,4387.5
72,SYS_FCST_DA_MW,BANC,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,1540.05
73,SYS_FCST_DA_MW,BANC,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,2471.82
74,SYS_FCST_DA_MW,BANC,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,1787.29
75,SYS_FCST_DA_MW,BANC,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,2456.15
76,SYS_FCST_DA_MW,BANC,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,2415.58
