node_id,lat,lon,2025-09-21 22:00:00,2025-09-21 21:00:00,2025-09-21 20:00:00,2025-09-21 19:00:00,2025-09-21 18:00:00,2025-09-21 17:00:00,2025-09-21 16:00:00,2025-09-21 15:00:00,2025-09-21 14:00:00,2025-09-21 13:00:00,2025-09-21 12:00:00,2025-09-21 11:00:00,2025-09-21 10:00:00,2025-09-21 09:00:00,2025-09-21 08:00:00,2025-09-21 07:00:00,2025-09-21 06:00:00,2025-09-21 05:00:00,2025-09-21 04:00:00,2025-09-21 03:00:00,2025-09-21 02:00:00,2025-09-21 01:00:00,2025-09-21 00:00:00,2025-09-20 23:00:00
BREEZE_LNODEYT1,35.123880999987534,-118.37403687435776,0.027378708295968304,0.015014833767956185,0.0,0.004511459129552448,0.013392445155555073,0.20923128022874263,0.32308195817418683,0.37689491212856685,0.38900743615872585,0.3914853120581654,0.39422777767610406,0.3924449608605805,0.40869123684303776,0.38189174445033286,0.274354033114406,0.11717858968812685,0.15147985282659315,0.11287097561763895,0.10367984137856111,0.07258869985791207,0.02491465570043861,0.012276651427285384,0.0696478406247044,0.06755954826221602
BREEZE_LNODEYT2,35.123880999987534,-118.37414712564222,0.027378708295968304,0.015014833767956185,0.0,0.004511459129552448,0.013392445155555073,0.20923128022874263,0.32308195817418683,0.37689491212856685,0.38900743615872585,0.3914853120581654,0.39422777767610406,0.3924449608605805,0.40869123684303776,0.38189174445033286,0.274354033114406,0.11717858968812685,0.15147985282659315,0.11287097561763895,0.10367984137856111,0.07258869985791207,0.02491465570043861,0.012276651427285384,0.0696478406247044,0.06755954826221602
BRENTWOD_2_N001,37.91959423612686,-121.676423,0.08347911190245381,0.04770627528078696,0.026521629687850313,0.027406429711242977,0.0,0.08221611843884133,0.17309527990982543,0.22903673056262747,0.3021291744620256,0.30897946076696636,0.3201707806726418,0.31728580062423933,0.3146387988421327,0.29268208904403376,0.3010011116808575,0.1763411907262811,0.20865779377060614,0.16402568333318937,0.16916802199193967,0.13312003951390425,0.09500300247190896,0.07659148185772421,0.13468882888446665,0.12254048757184482
BRENTWOD_2_N006,37.91951288192155,-121.67636345967551,0.08347911190245381,0.04770627528078696,0.026521629687850313,0.027406429711242977,0.0,0.08221611843884133,0.17309527990982543,0.22903673056262747,0.3021291744620256,0.30897946076696636,0.3201707806726418,0.31728580062423933,0.3146387988421327,0.29268208904403376,0.3010011116808575,0.1763411907262811,0.20865779377060614,0.16402568333318937,0.16916802199193967,0.13312003951390425,0.09500300247190896,0.07659148185772421,0.13468882888446665,0.12254048757184482
BRENTWOD_2_N011,37.91951288192155,-121.67648254032449,0.08347911190245381,0.04770627528078696,0.026521629687850313,0.027406429711242977,0.0,0.08221611843884133,0.17309527990982543,0.22903673056262747,0.3021291744620256,0.30897946076696636,0.3201707806726418,0.31728580062423933,0.3146387988421327,0.29268208904403376,0.3010011116808575,0.1763411907262811,0.20865779377060614,0.16402568333318937,0.16916802199193967,0.13312003951390425,0.09500300247190896,0.07659148185772421,0.13468882888446665,0.12254048757184482
BRGSMR_LNODEGZB,37.66621999998627,-120.97704287657282,0.05480412978506665,0.020685883173729255,0.0,0.002995577921893293,0.030382787211789993,0.22097346590086647,0.33454001891009516,0.38434469491030754,0.4069563714502131,0.40669078226161337,0.40935899342784515,0.4059353205177793,0.41602698502102337,0.3920395347442654,0.2760201768070346,0.1405841838920701,0.17578417200758803,0.1313865730353059,0.13541280368158076,0.09793664737672714,0.05926841954323375,0.03967279267031818,0.0954811249604379,0.08580106934975769
BRGSMR_LNODETHU,37.66621999998627,-120.97715712342718,0.05480412978506665,0.020685883173729255,0.0,0.002995577921893293,0.030382787211789993,0.22097346590086647,0.33454001891009516,0.38434469491030754,0.4069563714502131,0.40669078226161337,0.40935899342784515,0.4059353205177793,0.41602698502102337,0.3920395347442654,0.2760201768070346,0.1405841838920701,0.17578417200758803,0.1313865730353059,0.13541280368158076,0.09793664737672714,0.05926841954323375,0.03967279267031818,0.0954811249604379,0.08580106934975769
BRITTN_1_N001,37.37433620668406,-122.015575,0.07517342047218813,0.037615029683543355,0.012625881219562962,0.012370240802047633,0.0,0.12120893595076465,0.20188313269897767,0.27409023987677555,0.3410341819982883,0.34345842875201216,0.35273240996626837,0.3516530393145367,0.26281961005226423,0.30214043996685347,0.3024413234655792,0.1733534580001333,0.20607645196273333,0.16352924608018027,0.16802208814848987,0.1322013038171553,0.09256683389598035,0.07274220016083403,0.12628092347592051,0.11127995057958773
BRITTN_1_N005,37.37425489664326,-122.01551592726008,0.07517342047218813,0.037615029683543355,0.012625881219562962,0.012370240802047633,0.0,0.12120893595076465,0.20188313269897767,0.27409023987677555,0.3410341819982883,0.34345842875201216,0.35273240996626837,0.3516530393145367,0.26281961005226423,0.30214043996685347,0.3024413234655792,0.1733534580001333,0.20607645196273333,0.16352924608018027,0.16802208814848987,0.1322013038171553,0.09256683389598035,0.07274220016083403,0.12628092347592051,0.11127995057958773
BRITTN_1_N006,37.37425489664326,-122.01563407273991,0.07517342047218813,0.037615029683543355,0.012625881219562962,0.012370240802047633,0.0,0.12120893595076465,0.20188313269897767,0.27409023987677555,0.3410341819982883,0.34345842875201216,0.35273240996626837,0.3516530393145367,0.26281961005226423,0.30214043996685347,0.3024413234655792,0.1733534580001333,0.20607645196273333,0.16352924608018027,0.16802208814848987,0.1322013038171553,0.09256683389598035,0.07274220016083403,0.12628092347592051,0.11127995057958773
