oasis_node,caiso_matches
MIDSUN_1_PL1X2-APND,[]
MIL1_3_WIND-APND,[]
MIL2_3_WIND-APND,[]
MLAP_ANHM-APND,"['CANYONP1_7_GN001', 'CANYONP2_7_GN001', 'CANYONP3_7_GN001']"
MLAP_NCPA-APND,[]
MLAP_RVSD-APND,"['RERCU1_7_B1', 'RERCU2_7_B1', 'RERCU3_7_GN001', 'RERCU4_7_GN001', 'RIVRSIDE_6_N001']"
MLAP_VERN-APND,"['VERNON_6_N005', 'VERNON_6_N006']"
MOAPP_5_SOLAR-APND,[]
MONTPH_7_UNITS-APND,"['MONTICLO_7_N001', 'MONTICLO_7_N002', 'MONTICLO_7_N003']"
MOSSLD_2_PSP1-APND,[]
MOSSLD_2_PSP2-APND,[]
MRCHNT_2_PL1X3-APND,"['MRCHNT13_7_N001', 'MRCHNT13_7_N002', 'MRCHNT2_7_N001']"
MSSHL100_1_MSG12-APND,[]
MTF_2_UNITS-APND,[]
MYSTIC_7_MYST-APND,[]
NAVYII_2_UNITS-APND,"['NAVYII4G_7_B1', 'NAVYII5G_7_B1', 'NAVYII6G_7_B1']"
NEVP_APEX_NEVP-APND,[]
NEVP_BCTAP230-APND,[]
NEVP_CRYSTAL500-APND,[]
NEVP_CRYSTAL500_NEVP-APND,[]
NEVP_GON.IPP-APND,[]
NEVP_GON.PAV-APND,[]
NEVP_HILLTOP345-APND,[]
NEVP_M345-APND,[]
NEVP_MCCULLOUG230-APND,[]
NEVP_MEAD230_NEVP-APND,[]
NEVP_MEAD500-APND,[]
NEVP_MEAD5MSCHD-APND,[]
NEVP_REDB-APND,[]
NHOGAN_6_UNITS-APND,"['NHGNDM_7_N001', 'NHGNDM_7_N002']"
NHW_2_SHEPDSNC_PLANT-APND,[]
NINE_MI_1_GEN_TOTAL-APND,[]
NORORC_2_NOSBX2-APND,[]
NWMT_AVA.COLSTRIP-APND,[]
NWMT_AVAT.NWMT-APND,[]
NWMT_BPAT.NWMT-APND,[]
NWMT_BRDY-APND,[]
NWMT_GARRISON-APND,[]
NWMT_JEFF-APND,[]
NWMT_PACW.COLSTRIP-APND,[]
NWMT_PGE.COLSTRIP-APND,[]
NWMT_PSE.COLSTRIP-APND,[]
NWMT_PTSN-APND,[]
NWMT_TENDOY-APND,[]
NWMT_YTP-APND,[]
NWM_1_NEWMAN_4CC-APND,[]
NWM_1_NEWMAN_5CC-APND,[]
OBERON_5_O1BBX2-APND,"['OBERON_7_N122', 'OBERON_7_N132']"
OBERON_5_O1SSX2-APND,[]
OBERON_5_O2BBX2-APND,"['OBERON_7_N172', 'OBERON_7_N182']"
OGPP_2_OG-APND,[]
OGROVE_6_PL1X2-APND,[]
