oasis_node,caiso_matches,lat/lon
POD_GRNLF2_1_UNIT-APND,['GRNLEAF2_7_N001'],"[[39.052778, -121.695833]]"
POD_GYSRVL_7_WSPRNG-APND,"['GYSRVLLE_6_N001', 'GYSRVLLE_6_N003', 'GYSRVLLE_6_N005']","[[38.70981887157317, -122.907957], [38.70973806419826, -122.90789721183104], [38.70973806419826, -122.90801678816896]]"
POD_HAASPH_7_PL1X2-APND,"['HAAS_7_B1', 'HAAS_7_B11']","[[36.94999999998671, -118.99994368080674], [36.94999999998671, -119.00005631919323]]"
POD_HATCR2_7_UNIT-APND,['HATCRK2_7_B1'],"[[40.960675, -121.548657]]"
POD_HELMPG_7_UNIT 1-APND,"['HELMS1_7_B1', 'HELMS2_7_B1', 'HELMS3_7_B1']","[[36.59125582651913, -120.175012], [36.59117508672632, -120.17495394221808], [36.59117508672632, -120.17507005778192]]"
POD_HELMPG_7_UNIT 2-APND,"['HELMS1_7_B1', 'HELMS2_7_B1', 'HELMS3_7_B1']","[[36.59125582651913, -120.175012], [36.59117508672632, -120.17495394221808], [36.59117508672632, -120.17507005778192]]"
POD_HELMPG_7_UNIT 3-APND,"['HELMS1_7_B1', 'HELMS2_7_B1', 'HELMS3_7_B1']","[[36.59125582651913, -120.175012], [36.59117508672632, -120.17495394221808], [36.59117508672632, -120.17507005778192]]"
POD_HNTGBH_2_PL1X3-APND,"['HUNT1G_7_B1', 'HUNT1G_7_N002', 'HUNT2G_7_B1', 'HUNT2G_7_N002', 'HUNT3G_7_B1', 'HUNT3G_7_N002', 'HUNT4G_7_B1', 'HUNT4G_7_N002']","[[33.646104, -117.977642], [33.64610399995311, -117.97753404459904], [33.646014129707815, -117.97753404471172], [33.645950581890766, -117.97761038065148], [33.64593538463594, -117.97771678113637], [33.64596651133317, -117.97781805443611], [33.64603205539889, -117.97789191461878], [33.6461169905694, -117.97792719657156]]"
POD_HNTGBH_7_UNIT 2-APND,"['HUNT1G_7_B1', 'HUNT1G_7_N002', 'HUNT2G_7_B1', 'HUNT2G_7_N002', 'HUNT3G_7_B1', 'HUNT3G_7_N002', 'HUNT4G_7_B1', 'HUNT4G_7_N002']","[[33.646104, -117.977642], [33.64610399995311, -117.97753404459904], [33.646014129707815, -117.97753404471172], [33.645950581890766, -117.97761038065148], [33.64593538463594, -117.97771678113637], [33.64596651133317, -117.97781805443611], [33.64603205539889, -117.97789191461878], [33.6461169905694, -117.97792719657156]]"
POD_INDIGO_1_UNIT 1-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_INDIGO_1_UNIT 2-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_INDIGO_1_UNIT 3-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_KERNFT_1_UNITS-APND,"['KERNPWR_1_N002', 'KERNPWR_1_N201']","[[35.37980096994444, -119.097984], [35.37972001501422, -119.09792667452028]]"
POD_LAMONT_1_SOLAR2-APND,"['LAMONT_1_N001', 'LAMONT_1_N002']","[[35.296667999987505, -118.86162984910736], [35.296667999987505, -118.86174015089266]]"
POD_LAMONT_1_SOLAR3-APND,"['LAMONT_1_N001', 'LAMONT_1_N002']","[[35.296667999987505, -118.86162984910736], [35.296667999987505, -118.86174015089266]]"
POD_LAMONT_1_SOLAR4-APND,"['LAMONT_1_N001', 'LAMONT_1_N002']","[[35.296667999987505, -118.86162984910736], [35.296667999987505, -118.86174015089266]]"
POD_LAMONT_1_SOLAR5-APND,"['LAMONT_1_N001', 'LAMONT_1_N002']","[[35.296667999987505, -118.86162984910736], [35.296667999987505, -118.86174015089266]]"
POD_LAPLMA_2_UNIT 1-APND,['SUNST_2_N006'],"[[35.227222, -119.629722]]"
POD_LAPLMA_2_UNIT 2-APND,['SUNST_2_N006'],"[[35.227222, -119.629722]]"
POD_LAPLMA_2_UNIT 3-APND,['SUNST_2_N006'],"[[35.227222, -119.629722]]"
POD_LAPLMA_2_UNIT 4-APND,['SUNST_2_N006'],"[[35.227222, -119.629722]]"
POD_LARKSP_6_UNIT 1-APND,"['BDLRKSP2_7_B1', 'BORDER_6_N001', 'BORDER_6_N008']","[[32.56753899998902, -116.94249420647814], [32.56633480869927, -116.944389], [32.566254095638485, -116.94433370647506]]"
POD_LARKSP_6_UNIT 2-APND,"['BDLRKSP2_7_B1', 'BORDER_6_N001', 'BORDER_6_N008']","[[32.56753899998902, -116.94249420647814], [32.56633480869927, -116.944389], [32.566254095638485, -116.94433370647506]]"
POD_LMEC_1_PL1X3-APND,['PITSBURG_1_N001'],"[[38.03101263810665, -121.8693727075854]]"
POD_MTNPOS_1_UNIT-APND,['ULTRAOGL_7_N001'],"[[35.741389, -119.051111]]"
POD_MTWIND_1_UNIT 3-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_NAROW1_2_UNIT-APND,['SMRTVLTP_6_N101'],"[[39.207939, -121.301476]]"
POD_NCPA_7_GP2UN3-APND,"['FULTON_2_N010', 'FULTON_2_N049']","[[38.49657200829278, -122.75943026543568], [38.49657200829278, -122.75954973456432]]"
POD_NCPA_7_GP2UN4-APND,"['FULTON_2_N010', 'FULTON_2_N049']","[[38.49657200829278, -122.75943026543568], [38.49657200829278, -122.75954973456432]]"
POD_NIMTG_6_NICOGN-APND,"['CORONADO_6_N001', 'CORONADO_6_N002']","[[32.698823762005226, -117.173249], [32.69874311898509, -117.17319367259638]]"
POD_OAK C_7_UNIT 1-APND,"['OAKC12_7_N002', 'OAKLND12_7_N001', 'OAKLND12_7_N101']","[[37.797435, -122.281022], [37.79743499994459, -122.28113643965332], [37.79751331310943, -122.28107921988732]]"
POD_OAK C_7_UNIT 3-APND,['OAKLND3_7_N001'],"[[37.79751331310943, -122.28096478011268]]"
POD_OTAY_6_PL1X2-APND,"['MONTGMRY_6_N001', 'MONTGMRY_6_N002', 'OTAY_6_N001', 'OTAY_6_N014']","[[32.631633999988686, -117.09951777952128], [32.631633999988686, -117.0996242204787], [32.595376662064226, -117.05752057560969], [32.59519733784581, -117.05752057582266]]"
POD_RENWD_1_QF-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_RUSCTY_2_UNITS-APND,['CLWTER_2_N003'],"[[35.39850993300358, -118.93957167203408]]"
POD_RVRVEW_1_UNITA1-APND,['CCSUB_1_N001'],"[[38.03, -121.75]]"
