node_id,lon,lat,2026-05-05 21:00:00,2026-05-05 20:00:00,2026-05-05 19:00:00,2026-05-05 18:00:00,2026-05-05 17:00:00,2026-05-05 16:00:00,2026-05-05 15:00:00,2026-05-05 14:00:00,2026-05-05 13:00:00,2026-05-05 12:00:00,2026-05-05 11:00:00,2026-05-05 10:00:00,2026-05-05 09:00:00,2026-05-05 08:00:00,2026-05-05 07:00:00,2026-05-05 06:00:00,2026-05-05 05:00:00,2026-05-05 04:00:00,2026-05-05 03:00:00,2026-05-05 02:00:00,2026-05-05 00:00:00,2026-05-04 23:00:00,2026-05-04 22:00:00
LARKIN12_7_LN003,-122.41693945499844,37.78366287084234,29.70937,30.12338,24.38961,16.7989,13.11427,12.6077,9.40035,12.99177,12.67024,17.21186,21.81288,30.09607,31.67119,26.54568,28.06535,29.70145,28.50963,27.28248,28.21712,28.98547,33.80161,35.09569,35.79454
LASPALMS_1_N001,-119.69,36.8,27.62087,26.90545,16.0704,-2.27503,-2.84038,-4.63015,-4.46412,-4.28542,-3.45431,-1.53866,6.54635,9.65377,10.00573,13.97425,26.84856,28.53813,27.6363,26.42655,27.43234,27.79827,32.28329,33.0541,33.29574
LASPLGS_6_N001,-117.466996,33.31293877396291,29.35382,29.98843,25.63184,20.13831,15.50595,14.10703,11.20074,16.41782,15.33365,20.35081,24.81088,32.96953,34.51054,29.06667,27.73542,29.43321,28.28926,27.08355,28.02564,28.73364,33.54142,34.76781,35.41116
LASPLGS_6_N004,-122.22787,37.4629,29.35382,29.98843,25.63184,20.13831,15.50595,14.10703,11.20074,16.41782,15.33365,20.35081,24.81088,32.96953,34.51054,29.06667,27.73542,29.43321,28.28926,27.08355,28.02564,28.73364,33.54142,34.76781,35.41116
LASPULGS_6_N001,-117.46694027366009,33.31285811300611,28.39636,28.59254,20.69072,2.45566,-1.79987,-2.14202,-2.09016,-1.97614,-1.6978,-1.28243,-0.4227,0.77906,2.89973,17.21011,26.36818,28.36306,27.3588,26.42655,27.17883,27.93941,33.86419,34.67317,35.07229
LASPULGS_6_N009,-117.46705172633992,33.31285811300611,28.39636,28.59254,20.69072,2.45566,-1.79987,-2.14202,-2.09016,-1.97614,-1.6978,-1.28243,-0.4227,0.77906,2.89973,17.21011,26.36818,28.36306,27.3588,26.42655,27.17883,27.93941,33.86419,34.67317,35.07229
LASSEN_6_N001,-121.017222,40.29727611652984,26.43384,26.66105,20.66832,11.34761,5.51167,3.97796,2.83024,5.5492,5.29029,8.48678,13.31873,19.46797,20.35878,22.46373,25.95642,27.41716,26.07193,24.87697,25.73602,26.38414,29.72092,32.04007,32.5769
LASSEN_LNODE69LDT2,-121.01728344786936,40.29719494171887,23.20053,34.33077,21.05632,36.0621,5.44915,23.91721,3.09951,36.30314,5.38863,8.63822,13.49758,38.67543,20.58496,38.00159,23.215,23.14033,24.16964,23.15067,22.79293,28.48908,17.90904,17.71169,17.81557
LAURELES_6_N001,-121.7268922619553,36.47781599998705,29.00947,30.64307,31.66144,36.83648,29.24962,27.44011,22.53611,31.7155,27.88443,35.0143,33.98366,50.19967,51.8413,38.18869,27.47675,29.55745,28.35455,27.1359,28.09037,28.84157,33.49531,34.75091,35.44197
LAWRENCE_1_N001,-122.010126,37.397207,29.43501,29.87296,24.24624,17.33709,14.36489,14.65957,10.71757,14.69373,16.56912,21.271,25.43073,32.06118,34.50999,30.52689,27.86475,29.58286,28.43073,27.18563,28.11734,28.91352,33.57765,34.80838,35.4317
LAWRENCE_1_N003,-122.01001226428907,37.39720699994556,29.43501,29.87296,24.24624,17.33709,14.36489,14.65957,10.71757,14.69373,16.56912,21.271,25.43073,32.06118,34.50999,30.52689,27.86475,29.58286,28.43073,27.18563,28.11734,28.91352,33.57765,34.80838,35.4317
LAWRENCE_1_N004,-122.010126,37.39711664332103,29.43501,29.87296,24.24624,17.33709,14.36489,14.65957,10.71757,14.69373,16.56912,21.271,25.43073,32.06118,34.50999,30.52689,27.86475,29.58286,28.43073,27.18563,28.11734,28.91352,33.57765,34.80838,35.4317
LBEACH2G_7_N002,-118.22276026528898,33.81887301302021,27.80284,28.08045,19.10491,-1.21711,-1.97373,-2.27499,-2.1731,-2.15005,-1.92171,-1.25596,-0.71447,0.97537,2.41013,15.06417,26.01713,27.93105,26.93982,26.01821,26.73385,27.45788,33.25489,33.90927,34.26788
LCIENEGA_6_N001,-118.378408,34.000751,27.94842,28.02971,19.20732,-1.20403,-1.96808,-2.26377,-2.16546,-2.13627,-1.90338,-1.22172,-0.6892,1.08131,2.47134,15.14119,26.13855,28.044,27.0432,26.11506,26.83633,27.57134,33.39321,34.06137,34.44245
LEBECCT1_7_N100,-118.87914364154324,34.860298459987625,26.80339,27.03367,18.57687,-1.53822,-2.33547,-2.41845,-2.4189,-2.27778,-2.05659,-0.92241,-0.92917,1.49271,1.84482,14.84404,25.79278,27.46234,26.48819,25.63605,26.28078,26.92655,32.51713,33.10142,33.49427
LEBECCT4_7_N001,-118.87925375845676,34.860298459987625,26.80339,27.03367,18.57687,-1.53822,-2.33547,-2.41845,-2.4189,-2.27778,-2.05659,-0.92241,-0.92837,1.49271,1.84482,14.84404,25.79278,27.46234,26.48819,25.63605,26.28078,26.92655,32.51713,33.10142,33.49427
LEBEC_6_N001,-118.92630095535362,34.918641639950344,27.97082,27.89322,18.53206,4.35614,2.40132,0.6961,0.01495,0.45567,1.76854,4.50494,11.55029,16.87209,17.38076,19.35776,26.06992,27.99317,26.9371,25.92136,26.59362,27.45511,33.13303,33.91941,34.25076
LEGRAND_1_N001,-120.27340638043836,37.184411999986544,27.31011,26.41165,15.62761,-2.38352,-1.32325,-3.07022,-2.91132,-2.1305,-1.60107,0.42604,8.33289,11.99715,12.28492,13.88312,26.55822,28.32636,27.39689,26.21453,27.20041,27.53537,31.82549,32.49976,32.9192
